StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,trick,alpaca_315_no,alpaca_32_no,alpaca_325_no,alpaca_33_no,alpaca_335_no,alpaca_34_no,alpaca_345_no,alpaca_35_no,alpaca_355_no,alpaca_36_no,alpaca_365_no,alpaca_37_no,alpaca_315_go,alpaca_32_go,alpaca_325_go,alpaca_33_go,alpaca_335_go,alpaca_34_go,alpaca_345_go,alpaca_35_go,alpaca_355_go,alpaca_36_go,alpaca_365_go,alpaca_37_go,alpaca_315_me,alpaca_32_me,alpaca_325_me,alpaca_33_me,alpaca_335_me,alpaca_34_me,alpaca_345_me,alpaca_35_me,alpaca_355_me,alpaca_36_me,alpaca_365_me,alpaca_37_me,alpaca_315_ba,alpaca_32_ba,alpaca_325_ba,alpaca_33_ba,alpaca_335_ba,alpaca_34_ba,alpaca_345_ba,alpaca_35_ba,alpaca_355_ba,alpaca_36_ba,alpaca_365_ba,alpaca_37_ba,Trust_ba,Trust_me,Trust_go,Open,Ed,Gender,Gender_5_TEXT,Age,MTurk,SC0,MturkCode,Budget,Payment 
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Complete the sentence with the appropriate word:  


During this study, you will be shown a forecast of nighttime low temperatures and you will be asked if you will issue blankets to farmers for their _______ in Peru. 

 

Please enter your response in the text box using only lower case letters.",Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,Issue blankets to the alpacas?,"​



Forecaster confidence in the prediction: LOW 





How trustworthy do you think this forecast is?","​



Forecaster confidence in the prediction: MEDIUM 





How trustworthy do you think this forecast is?","​



Forecaster confidence in the prediction: HIGH 





How trustworthy do you think this forecast is?",We are very interested in how you made your decisions about when to issue blankets to the alpacas. Please list all the things you considered when making your judgments.,What is the highest level of school you have completed or the highest degree you have received?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,What is your age?,What is your MTurk worker ID?,Score,MturkCode,,
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID312""}","{""ImportId"":""QID315""}","{""ImportId"":""QID318""}","{""ImportId"":""QID321""}","{""ImportId"":""QID324""}","{""ImportId"":""QID327""}","{""ImportId"":""QID330""}","{""ImportId"":""QID333""}","{""ImportId"":""QID336""}","{""ImportId"":""QID339""}","{""ImportId"":""QID342""}","{""ImportId"":""QID345""}","{""ImportId"":""QID372""}","{""ImportId"":""QID378""}","{""ImportId"":""QID381""}","{""ImportId"":""QID384""}","{""ImportId"":""QID387""}","{""ImportId"":""QID390""}","{""ImportId"":""QID393""}","{""ImportId"":""QID396""}","{""ImportId"":""QID399""}","{""ImportId"":""QID402""}","{""ImportId"":""QID405""}","{""ImportId"":""QID408""}","{""ImportId"":""QID459""}","{""ImportId"":""QID461""}","{""ImportId"":""QID463""}","{""ImportId"":""QID465""}","{""ImportId"":""QID467""}","{""ImportId"":""QID469""}","{""ImportId"":""QID471""}","{""ImportId"":""QID473""}","{""ImportId"":""QID475""}","{""ImportId"":""QID477""}","{""ImportId"":""QID479""}","{""ImportId"":""QID481""}","{""ImportId"":""QID375""}","{""ImportId"":""QID414""}","{""ImportId"":""QID417""}","{""ImportId"":""QID420""}","{""ImportId"":""QID423""}","{""ImportId"":""QID426""}","{""ImportId"":""QID429""}","{""ImportId"":""QID432""}","{""ImportId"":""QID435""}","{""ImportId"":""QID438""}","{""ImportId"":""QID441""}","{""ImportId"":""QID444""}","{""ImportId"":""QID450""}","{""ImportId"":""QID482""}","{""ImportId"":""QID455""}","{""ImportId"":""QID213_TEXT""}","{""ImportId"":""QID249""}","{""ImportId"":""QID253""}","{""ImportId"":""QID253_5_TEXT""}","{""ImportId"":""QID275_TEXT""}","{""ImportId"":""QID456_TEXT""}","{""ImportId"":""SC_ebw56nspqcpbDLf""}","{""ImportId"":""MturkCode""}",,
2/25/19 13:16,2/25/19 13:22,IP Address,108.210.12.140,100,344,TRUE,2/25/19 13:22,R_2CNTsRxaqW9zDwH,,,,,38.61419678,-90.29100037,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,2,4,6,"I mainly looked at the distribution on the graph, but when the forecast accuracy was added I took that into decisions as a tiebreaker if needed, but without knowing which direction the forecast was off, I couldn't really be much more accurate.",Bachelor's degree in college (4-year),Female,,46,A3GZYWA9S6J0K9,-25000,419209391,23000,3.45
2/25/19 11:35,2/25/19 11:53,IP Address,75.64.41.20,100,1095,TRUE,2/25/19 11:53,R_3n0FSLnivhT4AlB,,,,,35.16400146,-89.7826004,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,5,4,3,Just based it on the odds,Bachelor's degree in college (4-year),Male,,31,A2P065E9CYMYJL,-26000,631209982,22000,3.3
2/25/19 12:33,2/25/19 12:42,IP Address,73.66.240.119,100,547,TRUE,2/25/19 12:42,R_1mKOMKBklKSfnQJ,,,,,39.48770142,-121.4698029,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,1 (not at all trustworthy),4,7 (completely trustworthy),"When their was two or fewer dots with a higher confidence, I decided not to send blankets. If it was more than two dots I always sent blankets and if there were some question between two or three dots and low confidence, I'd send blankets just to be safe.",Bachelor's degree in college (4-year),Female,,45,A3RQN5RZD1N2KP,-27000,981209386,21000,3.15
2/25/19 12:30,2/25/19 12:34,IP Address,73.248.218.167,100,270,TRUE,2/25/19 12:34,R_pbLMXUNLvmFTYgV,,,,,40.08740234,-74.11519623,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,2,4,6,I considered where the dots were relative the where 32 degrees was and if it was slim to none below that I would choose to go without blankets,Associate degree in college (2-year),Female,,39,ABMX8XUNPR3LP,-28000,342209850,20000,3
2/25/19 12:34,2/25/19 12:45,IP Address,24.127.94.39,100,676,TRUE,2/25/19 12:45,R_279kBZfnzl6NyE3,,,,,42.64289856,-83.354599,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,2,5,6,Where the graph was in relation to the freezing mark.  More likely not to issue blankets when temperatures where to the centered or left of 32 degrees.,Bachelor's degree in college (4-year),Male,,51,AZNIEFUIVB2H0,-28000,471209555,20000,3
2/25/19 13:46,2/25/19 13:54,IP Address,139.55.214.15,100,435,TRUE,2/25/19 13:54,R_3sgipjutMvq49ff,,,,,35.32470703,-80.65940094,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,4,5,6,I don't want alpacas to die so I issued it when I thought it was a 5/20 chance or greater. I didn't consider the accuracy too much because I can only issue orders based on the information I have.,Bachelor's degree in college (4-year),Prefer not to say,,27,A20X14OMRL0YPZ,-29000,531209399,19000,2.85
2/25/19 12:53,2/25/19 12:58,IP Address,170.76.184.94,100,324,TRUE,2/25/19 12:58,R_2bTXNBUbJ6PT4jS,,,,,30.55580139,-100.6306992,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,2,4,6,"I tried to save as much as I could whenever the temp had a very low chance of being freezing. Otherwise if not sure, I gave them out.",High school graduate (high school diploma or equivalent including GED),Male,,30,AIPHJXQEDNW9L,-30000,499209741,18000,2.7
2/25/19 13:07,2/25/19 13:16,IP Address,73.153.191.15,100,550,TRUE,2/25/19 13:16,R_5dNgdhb5Ft1YjQJ,,,,,39.66670227,-105.0854034,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,1 (not at all trustworthy),4,6,"I looked at where the median temperature was and how reliable the forecast was, if one or more of the dots was over 32 or lower and thought about if I wanted to take a chance or not.",Bachelor's degree in college (4-year),Female,,57,AURYD2FH3FUOQ,-30000,952209469,18000,2.7
