"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","meta_info_Browser","meta_info_Version","meta_info_Operating.System","meta_info_Resolution","do_you_consent","Q16","Q20","X1_Q6","X2_Q6","X3_Q6","X4_Q6","X5_Q6","X6_Q6","X7_Q6","X8_Q6","X9_Q6","X10_Q6","X11_Q6","X12_Q6","X13_Q6","X14_Q6","X15_Q6","X16_Q6","X17_Q6","X18_Q6","X19_Q6","X20_Q6","X1_Q8","X2_Q8","X3_Q8","X4_Q8","X5_Q8","X6_Q8","X7_Q8","X8_Q8","X9_Q8","X10_Q8","X11_Q8","X12_Q8","X13_Q8","X14_Q8","curve.for.decision","curve.for.decision_7_TEXT","description","seed","PROLIFIC_PID","STUDY_ID","SESSION_ID","total_trials","budget","TotalTrialsSingle","TotalTrialsMultiple","COMP_CODE","trial_index_map_single","trial_index_map_multiple","vis","FL_9_DO"
"Start Date","End Date","Response Type","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Distribution Channel","User Language","Q_RecaptchaScore","Click to write the question text - Browser","Click to write the question text - Version","Click to write the question text - Operating System","Click to write the question text - Resolution","By clicking on ""Yes"" below, you indicate that you have understood the Information Sheet and agree to participate in this study.","What is the probability that the temperature falls below 66°F?
(Please provide a number between 0 and 100, and do not add a ""%"" to your response)","What is the probability that the temperature falls below 68°F?","1 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","2 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","3 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","4 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","5 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","6 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","7 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","8 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","9 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","10 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","11 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","12 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","13 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","14 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","15 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","16 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","17 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","18 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","19 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","20 - Trial number: /[Field-TotalTrialsSingle]


	In the previous trial, the actual temperature was °F; you decided to  blankets, which cost $.


	Budget Remaining: 







Based on the forecast above, would you send blankets to the affected regions?","1 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","2 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","3 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","4 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","5 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","6 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","7 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","8 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","9 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","10 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","11 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","12 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","13 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","14 - Trial number: /[Field-TotalTrialsMultiple]








Based on the forecast above, would you send blankets to the affected regions?","When performing the task, which of these distributions (A, B, or C) did you primarily consider? If you considered multiple, please indicate all of them using the text box. - Selected Choice","When performing the task, which of these distributions (A, B, or C) did you primarily consider? If you considered multiple, please indicate all of them using the text box. - Other (please describe) - Text","Using the graph above as reference, please describe in as much detail as possible the strategy that you are using for interpreting and performing the task. If your decision will be to send blankets, why? If not, why?","seed","97b2d133","STUDY_ID","SESSION_ID","total_trials","budget","TotalTrialsSingle","TotalTrialsMultiple","COMP_CODE","trial_index_map_single","trial_index_map_multiple","vis","FL_9 - Block Randomizer - Display Order"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID2_BROWSER""}","{""ImportId"":""QID2_VERSION""}","{""ImportId"":""QID2_OS""}","{""ImportId"":""QID2_RESOLUTION""}","{""ImportId"":""QID3""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""1_QID6""}","{""ImportId"":""2_QID6""}","{""ImportId"":""3_QID6""}","{""ImportId"":""4_QID6""}","{""ImportId"":""5_QID6""}","{""ImportId"":""6_QID6""}","{""ImportId"":""7_QID6""}","{""ImportId"":""8_QID6""}","{""ImportId"":""9_QID6""}","{""ImportId"":""10_QID6""}","{""ImportId"":""11_QID6""}","{""ImportId"":""12_QID6""}","{""ImportId"":""13_QID6""}","{""ImportId"":""14_QID6""}","{""ImportId"":""15_QID6""}","{""ImportId"":""16_QID6""}","{""ImportId"":""17_QID6""}","{""ImportId"":""18_QID6""}","{""ImportId"":""19_QID6""}","{""ImportId"":""20_QID6""}","{""ImportId"":""1_QID8""}","{""ImportId"":""2_QID8""}","{""ImportId"":""3_QID8""}","{""ImportId"":""4_QID8""}","{""ImportId"":""5_QID8""}","{""ImportId"":""6_QID8""}","{""ImportId"":""7_QID8""}","{""ImportId"":""8_QID8""}","{""ImportId"":""9_QID8""}","{""ImportId"":""10_QID8""}","{""ImportId"":""11_QID8""}","{""ImportId"":""12_QID8""}","{""ImportId"":""13_QID8""}","{""ImportId"":""14_QID8""}","{""ImportId"":""QID37""}","{""ImportId"":""QID37_7_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""seed""}","828a7158","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""total_trials""}","{""ImportId"":""budget""}","{""ImportId"":""TotalTrialsSingle""}","{""ImportId"":""TotalTrialsMultiple""}","{""ImportId"":""COMP_CODE""}","{""ImportId"":""trial_index_map_single""}","{""ImportId"":""trial_index_map_multiple""}","{""ImportId"":""vis""}","{""ImportId"":""FL_9_DO""}"
"2024-08-12 13:44:19","2024-08-12 13:54:52","IP Address","100","632","True","2024-08-12 13:54:52","R_6GHLP2cOSxjZYXQ","anonymous","EN","1","Edge","126.0.0.0","Macintosh","1728x1117","Yes","10","50","No","Yes","No","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","","","","","","","","","I looked at the worst case, which is with 30% probability below 32","14",NA,"","","30","4000","18","12","CK3LYXU8","[10,3,9,17,12,13,4,0,14,8,5,7,6,11,18,1,16,15,2]","[4,9,5,8,7,3,6,2,12,11,10,1]","pbox","FL_11"
"2024-08-12 14:38:27","2024-08-12 14:48:22","IP Address","100","594","True","2024-08-12 14:48:23","R_1JL7WGT7cJADVqn","anonymous","EN","1","Chrome","127.0.0.0","Macintosh","1920x1080","Yes","10","50","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","","No","No","No","No","No","No","Yes","No","","","","","","","","","I scan the vertically line intersecting the p-box; if the highest value is less than 50, then I will not give blankets. Otherwise, I would give blankets. ","6466",NA,"","","30","5000","18","12","CK3LYXU8","[15,4,2,13,12,0,14,7,18,9,16,11,6,5,8,17,3,1,10]","[10,4,6,9,8,12,3,5,11,2,1,7]","pbox","FL_11"
"2024-08-12 19:47:08","2024-08-12 20:03:06","IP Address","100","958","True","2024-08-12 20:03:07","R_30w9Mivvm0NEmIS","anonymous","EN","1","Chrome","127.0.0.0","Macintosh","1512x982","Yes","10","50","No","No","Yes","No","No","Yes","No","No","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","","No","Yes","Yes","Yes","Yes","No","Yes","No","","","","","","","","","By looking at the purple shaded area and calculating the lowest and the highest points of shaded area corresponding to the y-axis for 32 deg F. Here the lowest chance of it being 32 deg F and lower is around 5% and the highest looks like it could be 35%, so I'd definitely send the blankets to the 'pacas.","6630",NA,"","","30","-3000","18","12","CK3LYXU8","[17,12,15,16,13,3,10,11,14,0,2,1,9,18,6,7,8,5,4]","[7,9,2,6,1,10,8,11,4,5,12,3]","pbox","FL_11"
"2024-08-13 06:55:53","2024-08-13 07:10:08","IP Address","100","854","True","2024-08-13 07:10:08","R_3s1skpDPxz5lp3P","anonymous","EN","1","Chrome","127.0.0.0","Macintosh","1440x900","Yes","10","50","No","Yes","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","Yes","","No","No","No","Yes","No","Yes","No","Yes","","","","","","","","","I looked at the upper bound of the p-curve at 32 degrees and assessed the gap between the upper bound and lower bound","8797",NA,"","","30","7000","18","12","CK3LYXU8","[17,12,9,13,0,3,1,18,16,6,2,10,7,11,15,4,14,8,5]","[10,7,8,1,11,4,6,2,12,9,5,3]","pbox","FL_11"
"2024-08-13 11:27:34","2024-08-13 11:32:08","IP Address","100","273","True","2024-08-13 11:32:09","R_1tbvxtTCBVoZngi","anonymous","EN","1","Safari","16.5","Macintosh","1440x900","Yes","8","50","No","No","No","No","No","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","","No","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","","","","","Average over 20%, send blankets","932","073a1d8f","66ba4d1673ee592dd76d031e","66bb9780fd94a68e54a302e6","30","8000","18","12","CK3LYXU8","[14,15,18,0,11,6,10,17,7,12,9,13,2,1,3,5,8,16,4]","[9,8,10,4,6,7,1,2,12,5,11,3]","pbox","FL_11"
"2024-08-13 11:25:50","2024-08-13 11:33:55","IP Address","100","485","True","2024-08-13 11:33:56","R_61ZxRZ404milMVj","anonymous","EN","1","Chrome","127.0.0.0","Windows NT 10.0","1920x1080","Yes","8","50","Yes","No","No","No","Yes","No","No","No","Yes","Yes","No","Yes","No","No","No","Yes","Yes","No","Yes","","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","","","","","i looked for the midpoint between forecasts. The higher result skewed my thinking.","3182","c855ddf1","66ba4d1673ee592dd76d031e","66bb9716e9621b4b8e1f78b8","30","10000","18","12","CK3LYXU8","[5,11,9,18,6,16,0,15,8,7,12,3,14,13,10,1,2,17,4]","[9,8,12,4,2,5,7,6,10,1,11,3]","pbox","FL_11"
"2024-08-13 11:25:32","2024-08-13 11:37:14","IP Address","100","702","True","2024-08-13 11:37:15","R_1r0uplWZjann6pw","anonymous","EN","1","Chrome","127.0.0.0","Windows NT 10.0","1680x1050","Yes","8","50","Yes","No","No","No","Yes","No","Yes","No","Yes","No","No","No","No","Yes","No","Yes","No","No","Yes","","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","No","No","","","","","If there was a really wide gap, with the smallest temperature being a very low probability, I interpreted that there may just be one weather predictor with a very off prediction and went with the lower prediction. If it was fair tight, it seemed to me that many predictions may generally agree and considered the highest prediction more strongly.","4491","5881c990","66ba4d1673ee592dd76d031e","66bb970466ba4d8092b3397e","30","1000","18","12","CK3LYXU8","[1,17,11,12,3,7,2,0,4,15,14,10,16,5,13,6,18,8,9]","[7,1,9,2,10,11,3,8,4,12,5,6]","pbox","FL_11"
"2024-08-13 11:25:53","2024-08-13 11:38:38","IP Address","100","765","True","2024-08-13 11:38:39","R_2JPAX9WwNit6aEp","anonymous","EN","1","Safari","14.1.2","Macintosh","1280x800","Yes","8","50","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","No","","","","","there is a 30% chance that the temp will fall below 32; that is a moderate risk and assistance should be provided","9380","aff420a8","66ba4d1673ee592dd76d031e","66bb971925be781396a63f3a","30","3000","18","12","CK3LYXU8","[12,15,0,8,7,2,18,17,9,5,10,4,11,16,14,6,1,3,13]","[7,3,5,12,11,6,10,8,4,1,2,9]","pbox","FL_11"
