"user_id","vis","budget","curve_for_decision","description"
"1e98f5d1","ensembles_left","2000","B","Median chance of 32 is 40% or greater, send blankets."
"2d1ec637","ensembles_right","2000","Some forecast between B and C","If below 50%, I do not give blankets. If close to or above 50% I give blankets"
"7d1ef9ea","ensembles_right","3000","B","I decided to send blankets If forecast B tended to be on the higher side of ~15% with consideration for forecast A."
"6bb8a7be","ensembles_right","6000","B","I considered where the majority of the lines were. In the example above, most were around 20% so I would not send blankets. If the majority were around 40-50%, I would consider the outlier forecasts to make my final decision."
"4e741919","ensembles_right","11000","Other (please describe)","I mainly used the middle, but if A was extremley low I considered it more."
"cba7cdda","ensembles_right","3000","B","If the forecast was consistent among the majority I assumed that was the most likely probability especially if A didn't deviate a lot from B and C. I did take A into consideration if it seemed like it showed a real risk of low temperatures and decided to send the blankets based on A"
"f7af0862","ensembles_right","-3000","Some forecast between B and C","I figured if there was below 50% chance of freezing, I wouldn't send blankets"
"2ac9764e","ensembles_left","7000","A","I simply tried to judge general consensus and use that as risk assessment. If I believed there was a low probability (say, under 30%) I would not even consider spending the money for the blankets. Anything above 30% I started considering it."
"597725f6","ensembles_left","5000","B","i it generally looked at more than 30 % I would send them"
"513f1717","ensembles_left","1000","A","I would figure out, based on mostly forecast A but also the average among the forecasts, whether the change of the temperature dropping below 32 was high enough to warrant sending the blankets."
"e496c68a","ensembles_left","6000","B","I generally tried to guess the median range on the chart."
"fa42d914","ensembles_left","2000","Other (please describe)","I sent blankets whenever the chances were over 50%, or the majority of forecasts was over 50%."
"9d1b5ed2","ensembles_right","-5000","Some forecast between B and C","I just decided if the bulk of the forecasts were 30 percent or lower I would not send blankets "
"28a0fba7","ensembles_left","-8000","Some forecast between B and C","I decided to send blankets if the lines were below or close to 32. I decided not to send blankets if the line was well above 32. "
"b1d8b061","ensembles_left","10000","Some forecast between B and C","try to average them "
"01ac082e","ensembles_left","11000","B","If the forecasts grouped together shows that there was a 50% chance or more of the forecast being below 32 degrees I decided to send blankets to be on the safe side."
"21f12dbd","ensembles_left","11000","Other (please describe)","I would send blankets if the prediction was 40% or higher, and I would not send the blankets if it was below 40%"
"3d8b0e48","ensembles_right","10000","B","My decision to send blankets was determined by the average chance that the temperature would drop below 32 degrees. If the cumulative chance was on average greater than 30%, I would send blankets, and not send any if it was lower. I chose a lower percentage as the threshold as I felt it was better to send blankets when not needed, than to fail to send them when they are needed."
"6449070e","ensembles_right","7000","Some forecast between B and C","I sent blankets whenever the probability of cold was around 50%. "
"8a007816","ensembles_right","-4000","Some forecast between B and C","To send is better than not to send. Gamblers call it a 50/50 shot in the dark if you are not in total control of the bet. 
I bet I got half of them wrong. I just went by the curves in the lines. 
I am not a weatherman. 
 The graph is very close and hard to judge. "
"8708d83f","ensembles_left","12000","B","A and C appear to be outliers in this instance, so I do not use them as much to make my decision. I tend to want to send blankets for sure if there is a 40% chance or greater that the temperature will be lower than 32 and if I have resources, will do so at a 30% chance or greater."
